accx,accy,accz,gyrx,gyry,gyrz,qw,qx,qy,qz,qyaw,qpitch,qroll,yaw,pitch,roll,gravaccx,gravaccy,gravaccz,counter
-0.11,0.88,-0.43,-4.76,-2.75,-0.12,0.30,0.36,-0.77,-0.43,-124.50,-8.67,117.52,-132.01,-8.67,117.52,0.76,1.03,0.02,303122,1721297156.8891034
-0.18,0.94,-0.52,5.19,0.06,-1.95,0.30,0.36,-0.77,-0.42,-124.54,-8.85,117.82,-132.05,-8.85,117.82,0.69,1.09,-0.06,303123,1721297156.8930933
-0.12,0.87,-0.49,-1.28,-1.40,-1.22,0.30,0.36,-0.77,-0.42,-124.56,-8.62,117.99,-132.07,-8.62,117.99,0.75,1.02,-0.02,303124,1721297156.9010746
-0.21,0.94,-0.55,2.75,-0.67,-1.22,0.30,0.36,-0.78,-0.42,-124.61,-8.97,118.32,-132.12,-8.97,118.32,0.66,1.09,-0.08,303125,1721297156.9120462
-0.15,0.86,-0.48,-1.04,-1.16,-0.73,0.30,0.36,-0.78,-0.42,-124.62,-8.97,118.42,-132.13,-8.97,118.42,0.71,1.02,-0.01,303126,1721297156.9195511
-0.19,0.90,-0.53,8.79,2.01,-2.26,0.30,0.36,-0.78,-0.42,-124.69,-9.12,118.78,-132.20,-9.12,118.78,0.68,1.06,-0.06,303127,1721297156.9315176
-0.23,0.93,-0.42,-9.70,-4.94,1.16,0.30,0.36,-0.78,-0.42,-124.56,-9.58,118.13,-132.07,-9.58,118.13,0.64,1.10,0.05,303128,1721297156.9375026
-0.17,0.91,-0.55,11.78,2.38,-2.93,0.30,0.36,-0.78,-0.42,-124.66,-9.50,118.64,-132.17,-9.50,118.64,0.70,1.08,-0.08,303129,1721297156.9444838
-0.18,0.91,-0.48,-8.91,-4.46,1.59,0.30,0.36,-0.78,-0.42,-124.59,-9.58,118.42,-132.10,-9.58,118.42,0.68,1.08,-0.01,303130,1721297156.9534628
-0.12,0.87,-0.52,1.46,-0.18,-0.18,0.30,0.36,-0.78,-0.42,-124.64,-9.28,118.71,-132.15,-9.28,118.71,0.74,1.03,-0.04,303131,1721297156.9634328
-0.18,0.93,-0.60,3.17,0.18,0.31,0.30,0.36,-0.78,-0.41,-124.72,-9.29,119.24,-132.23,-9.29,119.24,0.68,1.10,-0.11,303132,1721297156.9754002
-0.15,0.88,-0.48,-2.38,-1.22,1.28,0.30,0.36,-0.78,-0.42,-124.69,-9.15,119.15,-132.20,-9.15,119.15,0.72,1.04,-0.00,303133,1721297156.9853737
-0.18,0.92,-0.57,5.00,0.31,0.24,0.29,0.36,-0.78,-0.41,-124.76,-9.15,119.59,-132.27,-9.15,119.59,0.68,1.08,-0.09,303134,1721297156.9943495
-0.18,0.91,-0.52,-5.31,-3.17,2.01,0.29,0.36,-0.78,-0.41,-124.73,-9.24,119.57,-132.24,-9.24,119.57,0.68,1.07,-0.03,303135,1721297157.00233
-0.10,0.82,-0.59,9.52,2.01,-0.37,0.29,0.37,-0.78,-0.41,-124.87,-8.80,120.47,-132.38,-8.80,120.47,0.75,0.97,-0.09,303136,1721297157.0103092
